timestamp,epoch,sensor_id,sensor_type,value,ids_status,attack_type,ids_error
01:09:55,1771184395.893316,S1,FHR,133.53,CALIBRATING,-,-
01:09:55,1771184395.8943105,S4,RespRate,15.57,CALIBRATING,-,-
01:09:55,1771184395.8943105,S3,SpO2,97.21,CALIBRATING,-,-
01:09:55,1771184395.8943105,S2,TOCO,62.77,CALIBRATING,-,-
01:09:55,1771184395.8943105,S5,Temp,36.93,CALIBRATING,-,-
01:09:56,1771184396.9072132,S4,RespRate,15.91,CALIBRATING,-,-
01:09:56,1771184396.9072132,S3,SpO2,97.6,CALIBRATING,-,-
01:09:56,1771184396.9083345,S5,Temp,37.05,CALIBRATING,-,-
01:09:56,1771184396.9083345,S1,FHR,132.13,CALIBRATING,-,-
01:09:56,1771184396.9105163,S2,TOCO,39.43,CALIBRATING,-,-
01:09:57,1771184397.922901,S5,Temp,37.0,CALIBRATING,-,-
01:09:57,1771184397.922901,S2,TOCO,35.59,CALIBRATING,-,-
01:09:57,1771184397.922901,S3,SpO2,97.97,CALIBRATING,-,-
01:09:57,1771184397.9239016,S1,FHR,141.76,CALIBRATING,-,-
01:09:57,1771184397.9239016,S4,RespRate,15.29,CALIBRATING,-,-
01:09:58,1771184398.9383168,S1,FHR,138.79,CALIBRATING,-,-
01:09:58,1771184398.9383168,S4,RespRate,16.52,CALIBRATING,-,-
01:09:58,1771184398.9392924,S2,TOCO,43.78,CALIBRATING,-,-
01:09:58,1771184398.9392924,S3,SpO2,97.34,CALIBRATING,-,-
01:09:58,1771184398.9392924,S5,Temp,37.14,CALIBRATING,-,-
01:09:59,1771184399.9491198,S1,FHR,129.01,CALIBRATING,-,-
01:09:59,1771184399.9503505,S2,TOCO,59.64,CALIBRATING,-,-
01:09:59,1771184399.9503505,S5,Temp,37.1,CALIBRATING,-,-
01:09:59,1771184399.9503505,S4,RespRate,16.73,CALIBRATING,-,-
01:09:59,1771184399.9503505,S3,SpO2,97.05,CALIBRATING,-,-
01:10:00,1771184400.9505875,S3,SpO2,97.08,CALIBRATING,-,-
01:10:00,1771184400.9514568,S5,Temp,37.03,CALIBRATING,-,-
01:10:00,1771184400.9514568,S4,RespRate,15.47,CALIBRATING,-,-
01:10:00,1771184400.9514568,S1,FHR,134.56,CALIBRATING,-,-
01:10:00,1771184400.952466,S2,TOCO,45.0,CALIBRATING,-,-
01:10:01,1771184401.9547076,S4,RespRate,14.91,CALIBRATING,-,-
01:10:01,1771184401.9557354,S2,TOCO,57.1,CALIBRATING,-,-
01:10:01,1771184401.9557354,S1,FHR,129.91,CALIBRATING,-,-
01:10:01,1771184401.9557354,S5,Temp,37.07,CALIBRATING,-,-
01:10:01,1771184401.9557354,S3,SpO2,98.13,CALIBRATING,-,-
01:10:02,1771184402.9666693,S5,Temp,37.08,CALIBRATING,-,-
01:10:02,1771184402.9676428,S3,SpO2,97.9,CALIBRATING,-,-
01:10:02,1771184402.9676428,S4,RespRate,15.02,CALIBRATING,-,-
01:10:02,1771184402.9676428,S2,TOCO,49.65,CALIBRATING,-,-
01:10:02,1771184402.9676428,S1,FHR,141.94,CALIBRATING,-,-
01:10:03,1771184403.9812527,S3,SpO2,97.54,CALIBRATING,-,-
01:10:03,1771184403.9825244,S5,Temp,36.85,CALIBRATING,-,-
01:10:03,1771184403.9836938,S2,TOCO,59.44,CALIBRATING,-,-
01:10:03,1771184403.9836938,S1,FHR,138.79,CALIBRATING,-,-
01:10:03,1771184403.9836938,S4,RespRate,15.41,CALIBRATING,-,-
01:10:04,1771184404.986079,S1,FHR,140.77,CALIBRATING,-,-
01:10:04,1771184404.9871354,S2,TOCO,46.03,CALIBRATING,-,-
01:10:04,1771184404.9871354,S5,Temp,36.9,CALIBRATING,-,-
01:10:04,1771184404.9871354,S3,SpO2,97.33,CALIBRATING,-,-
01:10:04,1771184404.9881158,S4,RespRate,16.09,CALIBRATING,-,-
01:10:05,1771184405.9897118,S5,Temp,37.0,CALIBRATING,-,-
01:10:05,1771184405.9897118,S3,SpO2,96.83,CALIBRATING,-,-
01:10:05,1771184405.9897118,S2,TOCO,51.66,CALIBRATING,-,-
01:10:05,1771184405.991225,S1,FHR,139.6,CALIBRATING,-,-
01:10:05,1771184405.991225,S4,RespRate,14.88,CALIBRATING,-,-
01:10:06,1771184406.9929652,S5,Temp,36.92,CALIBRATING,-,-
01:10:06,1771184406.9929652,S4,RespRate,15.79,CALIBRATING,-,-
01:10:06,1771184406.9929652,S1,FHR,134.86,CALIBRATING,-,-
01:10:06,1771184406.9929652,S3,SpO2,96.97,CALIBRATING,-,-
01:10:06,1771184406.9929652,S2,TOCO,53.94,CALIBRATING,-,-
01:10:08,1771184408.002918,S4,RespRate,15.06,CALIBRATING,-,-
01:10:08,1771184408.002918,S2,TOCO,62.52,CALIBRATING,-,-
01:10:08,1771184408.002918,S5,Temp,36.93,CALIBRATING,-,-
01:10:08,1771184408.002918,S1,FHR,139.45,CALIBRATING,-,-
01:10:08,1771184408.002918,S3,SpO2,97.64,CALIBRATING,-,-
01:10:09,1771184409.0069873,S3,SpO2,98.06,CALIBRATING,-,-
01:10:09,1771184409.0069873,S5,Temp,36.98,CALIBRATING,-,-
01:10:09,1771184409.0069873,S4,RespRate,17.12,CALIBRATING,-,-
01:10:09,1771184409.0095325,S2,TOCO,42.12,CALIBRATING,-,-
01:10:09,1771184409.0095325,S1,FHR,131.37,CALIBRATING,-,-
01:10:10,1771184410.0102851,S2,TOCO,45.48,CALIBRATING,-,-
01:10:10,1771184410.011469,S3,SpO2,97.58,CALIBRATING,-,-
01:10:10,1771184410.011469,S5,Temp,36.9,CALIBRATING,-,-
01:10:10,1771184410.011469,S4,RespRate,16.75,CALIBRATING,-,-
01:10:10,1771184410.011469,S1,FHR,130.04,CALIBRATING,-,-
01:10:11,1771184411.0131588,S4,RespRate,16.61,CALIBRATING,-,-
01:10:11,1771184411.0131588,S5,Temp,36.88,CALIBRATING,-,-
01:10:11,1771184411.0131588,S2,TOCO,45.49,CALIBRATING,-,-
01:10:11,1771184411.0131588,S1,FHR,141.48,CALIBRATING,-,-
01:10:11,1771184411.0166647,S3,SpO2,97.56,CALIBRATING,-,-
01:10:12,1771184412.0263374,S1,FHR,142.05,CALIBRATING,-,-
01:10:12,1771184412.0263374,S4,RespRate,15.3,CALIBRATING,-,-
01:10:12,1771184412.0263374,S2,TOCO,61.47,CALIBRATING,-,-
01:10:12,1771184412.0289114,S3,SpO2,98.06,CALIBRATING,-,-
01:10:12,1771184412.0289114,S5,Temp,37.09,CALIBRATING,-,-
01:10:13,1771184413.03558,S1,FHR,132.07,CALIBRATING,-,-
01:10:13,1771184413.03558,S4,RespRate,16.79,CALIBRATING,-,-
01:10:13,1771184413.0380461,S3,SpO2,97.83,CALIBRATING,-,-
01:10:13,1771184413.0380461,S2,TOCO,63.74,CALIBRATING,-,-
01:10:13,1771184413.0380461,S5,Temp,37.12,CALIBRATING,-,-
01:10:14,1771184414.036861,S5,Temp,37.04,CALIBRATING,-,-
01:10:14,1771184414.036861,S4,RespRate,16.8,CALIBRATING,-,-
01:10:14,1771184414.036861,S1,FHR,133.91,CALIBRATING,-,-
01:10:14,1771184414.0397592,S3,SpO2,97.86,CALIBRATING,-,-
01:10:14,1771184414.0397592,S2,TOCO,44.9,CALIBRATING,-,-
01:10:15,1771184415.0407171,S5,Temp,37.06,CALIBRATING,-,-
01:10:15,1771184415.0407171,S4,RespRate,16.78,CALIBRATING,-,-
01:10:15,1771184415.0407171,S1,FHR,133.6,CALIBRATING,-,-
01:10:15,1771184415.0407171,S3,SpO2,98.07,CALIBRATING,-,-
01:10:15,1771184415.0407171,S2,TOCO,57.92,CALIBRATING,-,-
01:10:16,1771184416.0490282,S1,FHR,129.31,CALIBRATING,-,-
01:10:16,1771184416.0490282,S4,RespRate,16.45,CALIBRATING,-,-
01:10:16,1771184416.0490282,S5,Temp,37.12,CALIBRATING,-,-
01:10:16,1771184416.0490282,S2,TOCO,54.61,CALIBRATING,-,-
01:10:16,1771184416.0490282,S3,SpO2,97.27,CALIBRATING,-,-
01:10:17,1771184417.0546505,S3,SpO2,97.61,CALIBRATING,-,-
01:10:17,1771184417.0546505,S5,Temp,37.06,CALIBRATING,-,-
01:10:17,1771184417.0546505,S2,TOCO,44.59,CALIBRATING,-,-
01:10:17,1771184417.0546505,S1,FHR,135.53,CALIBRATING,-,-
01:10:17,1771184417.0580704,S4,RespRate,16.56,CALIBRATING,-,-
01:10:18,1771184418.0598319,S1,FHR,131.24,CALIBRATING,-,-
01:10:18,1771184418.0598319,S2,TOCO,53.27,CALIBRATING,-,-
01:10:18,1771184418.061948,S5,Temp,36.92,CALIBRATING,-,-
01:10:18,1771184418.061948,S3,SpO2,97.87,CALIBRATING,-,-
01:10:18,1771184418.061948,S4,RespRate,17.11,CALIBRATING,-,-
01:10:19,1771184419.0756607,S3,SpO2,97.72,CALIBRATING,-,-
01:10:19,1771184419.0756607,S1,FHR,142.41,CALIBRATING,-,-
01:10:19,1771184419.0775576,S2,TOCO,38.0,CALIBRATING,-,-
01:10:19,1771184419.0775576,S4,RespRate,16.75,CALIBRATING,-,-
01:10:19,1771184419.0791047,S5,Temp,37.13,CALIBRATING,-,-
01:10:20,1771184420.0899584,S4,RespRate,15.07,CALIBRATING,-,-
01:10:20,1771184420.0899584,S1,FHR,136.23,CALIBRATING,-,-
01:10:20,1771184420.0899584,S5,Temp,37.05,CALIBRATING,-,-
01:10:20,1771184420.0929658,S3,SpO2,98.2,CALIBRATING,-,-
01:10:20,1771184420.0929658,S2,TOCO,36.06,CALIBRATING,-,-
01:10:21,1771184421.0980682,S3,SpO2,97.36,CALIBRATING,-,-
01:10:21,1771184421.0988102,S2,TOCO,46.96,CALIBRATING,-,-
01:10:21,1771184421.0998576,S4,RespRate,14.9,CALIBRATING,-,-
01:10:21,1771184421.0998576,S1,FHR,128.38,CALIBRATING,-,-
01:10:21,1771184421.0998576,S5,Temp,37.05,CALIBRATING,-,-
